정수장,지역,PH수치,Ph단위,탁도수치,탁도단위,잔여염소,염소단위
양산정수장,경남 양산시 상북면,7.0787,PH,0.0481,NTU,0.469,MG/L
금산정수장,충남 금산군 남일면,7.2969,PH,0.0409,NTU,0.6868,MG/L
아산정수장,충남 아산시 영인면,7.4215,PH,0.0363,NTU,0.7585,MG/L
보령정수장,층남 보령시 웅천읍,7.2046,PH,0.0714,NTU,0.8284,MG/L
공주정수장,충남 공주시 유구읍,7.3659,PH,0.0444,NTU,0.6227,MG/L
천안정수장,충남 천안시 동남구,7.1709,PH,0.0784,NTU,0.6578,MG/L
충주정수장,충북 충주시 용탄동,7.6539,PH,0.0341,NTU,0.7308,MG/L
청주정수장,충북 청주시 상당구,7.1955,PH,0.0516,NTU,0.894,MG/L
송전정수장,강원도 횡성군 횡성읍,6.768,PH,0.0283,NTU,0.7666,MG/L
황지정수장,강원도 태백시 황지동,7.3824,PH,0.0591,NTU,0.7086,MG/L
수지정수장,경기도 용인시 상현동,7.1634,PH,0.1169,NTU,0.7059,MG/L
덕소정수장,경기도 남양주시 와부읍,7.2487,PH,0.0222,NTU,0.8769,MG/L
와부정수장,경기도 남양주시 와부읍,7.4525,PH,0.0434,NTU,0.9492,MG/L
고양정수장,경기도 고양시 일산동구,7.5004,PH,0.0447,NTU,0.6567,MG/L
일산정수장,경기도 고양시 덕양구,7.7877,PH,0.0643,NTU,0.7301,MG/L
시흥정수장,경기도 안산시 선부2동,7.8442,PH,0.0532,NTU,0.6926,MG/L
반월정수장,경기도 안산시 상록구,7.1621,PH,0.0557,NTU,0.6446,MG/L
석성정수장,충남 부여군 석성면,6.9533,PH,0.0535,NTU,0.8376,MG/L
산성정수장,전북 정읍시 옹동면,7.1872,PH,0.0415,NTU,0.8703,MG/L
고산정수장,전북 완주군 고산면,7.1604,PH,0.0431,NTU,0.7934,MG/L
구천정수장,경남 거제시 신협읍,7.2255,PH,0.0488,NTU,0.8554,MG/L
연초정수장,경남 거제시 연초면,7.6069,PH,0.0402,NTU,0.706,MG/L
밀양정수장,경남 밀양시 산외면,7.0617,PH,0.0414,NTU,0.5863,MG/L
사천정수장,경남 사천시 축동면,6.9544,PH,0.0433,NTU,0.7961,MG/L
반송정수장,경남 창원시 성산구,7.6475,PH,0.0407,NTU,0.6898,MG/L
고령정수장,경북 고령군 다산면,7.5363,PH,0.0492,NTU,0.83,MG/L
운문정수장,경북 청도군 운문면,7.1152,PH,0.039,NTU,0.8591,MG/L
자인정수장,경산시 자인면,7.0722,PH,0.0464,NTU,0.7284,MG/L
구미정수장,경북 구미시 고아읍,-1.4,PH,-0.1,NTU,-0.3,MG/L
학야정수장,포항시 북구 기계면,7.2611,PH,0.0364,NTU,0.749,MG/L
평림정수장,전남 장성군 삼계면,7.1724,PH,0.0634,NTU,0.8108,MG/L
덕정정수장,전남 장흥군 부산면,6.6219,PH,0.0343,NTU,0.7649,MG/L
화순정수장,전남 화순군 화순읍,7.1484,PH,0.0537,NTU,0.6849,MG/L
별량정수장,전남 순천시 별량면,7.0911,PH,0.0332,NTU,0.8047,MG/L
부안정수장,전북 부안군 변산면,6.6369,PH,0.0365,NTU,0.6861,MG/L
동화정수장,전북 장수군 변암면,7.1271,PH,0.049,NTU,0.8725,MG/L
성남정수장,경기도 성남시 수정구,7.3831,PH,0.0502,NTU,0.6813,MG/L
성남정수장,경기도 성남시 수정구,7.3896,PH,0.0503,NTU,0.6744,MG/L
금산정수장,충남 금산군 남일면,7.2995,PH,0.0409,NTU,0.6745,MG/L
아산정수장,충남 아산시 영인면,7.4189,PH,0.036,NTU,0.7686,MG/L
보령정수장,층남 보령시 웅천읍,7.2047,PH,0.0717,NTU,0.8266,MG/L
공주정수장,충남 공주시 유구읍,7.3682,PH,0.0447,NTU,0.6276,MG/L
천안정수장,충남 천안시 동남구,7.1592,PH,0.0786,NTU,0.6466,MG/L
충주정수장,충북 충주시 용탄동,7.6615,PH,0.0339,NTU,0.7358,MG/L
청주정수장,충북 청주시 상당구,7.1972,PH,0.0515,NTU,0.7747,MG/L
송전정수장,강원도 횡성군 횡성읍,6.7691,PH,0.0281,NTU,0.7639,MG/L
황지정수장,강원도 태백시 황지동,7.3802,PH,0.0591,NTU,0.7034,MG/L
수지정수장,경기도 용인시 상현동,7.167,PH,0.1145,NTU,0.7178,MG/L
덕소정수장,경기도 남양주시 와부읍,7.2385,PH,0.0221,NTU,0.8791,MG/L
와부정수장,경기도 남양주시 와부읍,7.4552,PH,0.0417,NTU,0.947,MG/L
고양정수장,경기도 고양시 일산동구,7.5002,PH,0.0447,NTU,0.6563,MG/L
일산정수장,경기도 고양시 덕양구,7.786,PH,0.0644,NTU,0.7919,MG/L
시흥정수장,경기도 안산시 선부2동,7.8431,PH,0.053,NTU,0.689,MG/L
반월정수장,경기도 안산시 상록구,7.1627,PH,0.0556,NTU,0.6427,MG/L
석성정수장,충남 부여군 석성면,6.9535,PH,0.0531,NTU,0.8386,MG/L
산성정수장,전북 정읍시 옹동면,7.1716,PH,0.0424,NTU,0.9059,MG/L
고산정수장,전북 완주군 고산면,7.158,PH,0.0431,NTU,0.7977,MG/L
구천정수장,경남 거제시 신협읍,7.2204,PH,0.0491,NTU,0.8604,MG/L
연초정수장,경남 거제시 연초면,7.6009,PH,0.0402,NTU,0.7062,MG/L
밀양정수장,경남 밀양시 산외면,7.0518,PH,0.0412,NTU,0.5902,MG/L
사천정수장,경남 사천시 축동면,6.943,PH,0.0434,NTU,0.8002,MG/L
반송정수장,경남 창원시 성산구,7.6481,PH,0.0405,NTU,0.6976,MG/L
고령정수장,경북 고령군 다산면,7.5359,PH,0.0492,NTU,0.8342,MG/L
운문정수장,경북 청도군 운문면,7.1141,PH,0.039,NTU,0.8628,MG/L
자인정수장,경산시 자인면,7.0676,PH,0.0467,NTU,0.7294,MG/L
구미정수장,경북 구미시 고아읍,-1.4,PH,-0.1,NTU,-0.3,MG/L
학야정수장,포항시 북구 기계면,7.2584,PH,0.038,NTU,0.7596,MG/L
평림정수장,전남 장성군 삼계면,7.1733,PH,0.063,NTU,0.8086,MG/L
덕정정수장,전남 장흥군 부산면,6.621,PH,0.0351,NTU,0.7662,MG/L
화순정수장,전남 화순군 화순읍,7.154,PH,0.0531,NTU,0.6814,MG/L
별량정수장,전남 순천시 별량면,7.1128,PH,0.0321,NTU,0.7989,MG/L
부안정수장,전북 부안군 변산면,6.6429,PH,0.0365,NTU,0.6856,MG/L
동화정수장,전북 장수군 변암면,7.1287,PH,0.049,NTU,0.8562,MG/L
양산정수장,경남 양산시 상북면,7.0832,PH,0.049,NTU,0.471,MG/L
